Date,Close,Volume,Open,High,Low,Symbol
2024-09-11,207.23,13658740,205.25,207.7,201.831,JPM
2024-09-11,423.04,19266920,415.5,423.99,409.58,MSFT
2024-09-11,116.91,441422400,109.39,117.19,107.42,NVDA
2024-09-11,34.85,68302250,34.01,34.87,33.62,PLTR
2024-09-11,228.13,83548630,224.55,228.47,216.8003,TSLA
2024-09-12,206.6,9055756,207.65,208.78,204.89,JPM
2024-09-12,427.0,17418760,423.31,427.3692,419.75,MSFT
2024-09-12,119.14,367100500,116.84,120.79,115.38,NVDA
2024-09-12,34.91,54391840,34.86,35.4,34.5308,PLTR
2024-09-12,229.81,72020040,224.66,231.45,223.83,TSLA
2024-09-13,204.32,10226690,206.86,207.8482,203.02,JPM
2024-09-13,430.59,15874560,425.825,431.83,425.46,MSFT
2024-09-13,119.1,238358300,119.08,119.955,117.6,NVDA
2024-09-13,35.59,49727170,34.97,36.01,34.89,PLTR
2024-09-13,230.29,59515110,228.0,232.67,226.32,TSLA
2024-09-16,207.86,8634936,205.83,208.21,205.59,JPM
2024-09-16,431.34,13834700,430.6,433.53,428.22,MSFT
2024-09-16,116.78,248772300,116.79,118.18,114.36,NVDA
2024-09-16,36.31,74767330,35.78,36.92,35.56,PLTR
2024-09-16,226.78,54323000,229.3,229.96,223.53,TSLA
2024-09-17,209.25,7573345,207.73,209.93,207.66,JPM
2024-09-17,435.15,18874230,440.23,441.85,432.27,MSFT
2024-09-17,115.59,231925900,118.17,118.8,114.83,NVDA
2024-09-17,36.45,64461750,37.0,37.05,35.87,PLTR
2024-09-17,227.87,66761640,229.45,234.57,226.5533,TSLA
2024-09-18,207.53,8259876,209.01,211.3361,206.7,JPM
2024-09-18,430.81,18898040,435.0,436.03,430.41,MSFT
2024-09-18,113.37,310318900,115.89,117.7,113.22,NVDA
2024-09-18,36.38,66279770,35.9,37.11,35.8712,PLTR
2024-09-18,227.2,78010200,230.09,235.68,226.88,TSLA
2024-09-19,210.48,11635170,209.78,211.91,207.34,JPM
2024-09-19,438.69,21706560,441.225,441.5,436.9,MSFT
2024-09-19,117.87,293506400,117.35,119.66,117.25,NVDA
2024-09-19,36.83,59882040,37.0,37.35,36.2,PLTR
2024-09-19,243.92,102694600,234.0,244.24,232.13,TSLA
2024-09-20,211.09,20884970,209.93,211.415,209.5,JPM
2024-09-20,435.27,55167110,437.22,439.24,434.22,MSFT
2024-09-20,116.0,382462400,117.06,118.6181,115.3901,NVDA
2024-09-20,37.2,450290500,36.01,37.29,35.71,PLTR
2024-09-20,238.25,99879070,241.52,243.99,235.92,TSLA
2024-09-23,211.44,7223491,211.0,211.8,209.99,JPM
2024-09-23,433.51,15128890,434.28,436.46,430.3889,MSFT
2024-09-23,116.26,206228500,116.55,116.99,114.86,NVDA
2024-09-23,37.95,79460740,36.86,38.19,36.57,PLTR
2024-09-23,250.0,86927190,242.61,250.0,241.92,TSLA
2024-09-24,211.59,7323239,211.15,212.95,210.37,JPM
2024-09-24,429.17,17015750,433.0,433.35,426.1,MSFT
2024-09-24,120.87,354966800,116.515,121.8,115.38,NVDA
2024-09-24,36.9,79519250,37.97,37.98,36.43,PLTR
2024-09-24,254.27,88491000,254.08,257.19,249.0501,TSLA
2024-09-25,210.19,8976520,211.68,212.24,208.61,JPM
2024-09-25,432.11,13396360,429.83,433.119,428.57,MSFT
2024-09-25,123.51,284692900,122.02,124.94,121.61,NVDA
2024-09-25,37.12,46511720,36.89,37.18,36.3827,PLTR
2024-09-25,257.02,65034320,252.54,257.05,252.28,TSLA
2024-09-26,209.78,7807480,211.13,211.7,209.01,JPM
2024-09-26,431.31,14492040,435.085,435.3,429.13,MSFT
2024-09-26,124.04,302582900,126.8,127.665,121.8,NVDA
2024-09-26,37.1,48601990,37.26,37.44,36.6,PLTR
2024-09-26,254.22,67142190,260.6,261.75,251.53,TSLA
2024-09-27,210.5,7032450,210.65,212.44,209.33,JPM
2024-09-27,428.02,14896130,431.52,431.85,427.47,MSFT
2024-09-27,121.4,271009200,123.97,124.03,119.26,NVDA
2024-09-27,36.84,43219120,36.91,37.47,36.59,PLTR
2024-09-27,260.46,70988070,257.375,260.6999,254.12,TSLA
2024-09-30,210.86,8668314,206.31,210.96,205.26,JPM
2024-09-30,430.3,16854610,428.21,430.42,425.37,MSFT
2024-09-30,121.44,227053700,118.31,121.5,118.15,NVDA
2024-09-30,37.2,42223550,36.58,37.32,36.15,PLTR
2024-09-30,261.63,80873380,259.04,264.86,255.77,TSLA
2024-10-01,207.04,8540064,208.9,209.09,206.19,JPM
2024-10-01,420.69,19092950,428.45,428.48,418.81,MSFT
2024-10-01,117.0,302094500,121.765,122.4351,115.79,NVDA
2024-10-01,36.46,52858040,37.21,37.56,36.05,PLTR
2024-10-01,258.02,87397610,262.67,263.98,248.53,TSLA
2024-10-02,207.29,5810931,207.08,208.95,205.69,JPM
2024-10-02,417.13,16582260,422.58,422.82,416.71,MSFT
2024-10-02,118.85,221845900,116.44,119.38,115.14,NVDA
2024-10-02,37.49,34988910,36.3,37.68,36.145,PLTR
2024-10-02,249.02,93983930,247.55,251.1585,241.5,TSLA
2024-10-03,205.23,7251325,206.17,206.49,204.34,JPM
2024-10-03,416.54,13686420,417.63,419.55,414.29,MSFT
2024-10-03,122.85,277118000,120.92,124.36,120.3401,NVDA
2024-10-03,39.24,57196450,37.45,39.29,37.37,PLTR
2024-10-03,240.66,80729240,244.48,249.79,237.81,TSLA
2024-10-04,211.22,10213420,209.3,211.67,206.91,JPM
2024-10-04,416.06,19190910,418.24,419.75,414.97,MSFT
2024-10-04,124.92,244465600,124.94,125.04,121.83,NVDA
2024-10-04,40.01,62657550,39.65,40.29,39.4,PLTR
2024-10-04,250.08,86726290,246.69,250.96,244.58,TSLA
2024-10-07,210.93,6718898,211.03,213.33,209.69,JPM
2024-10-07,409.54,20919760,416.0,417.11,409.0,MSFT
