Date,Symbol,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close
,,AAPL,TSLA,MSFT,GOOG,AMZN,NVDA,META,NFLX,JPM,BAC
2024-12-20,AAPL,253.87759399414062,,,,,,,,,
2024-12-20,AMZN,,,,,224.9199981689453,,,,,
2024-12-20,BAC,,,,,,,,,,43.63585662841797
2024-12-20,GOOG,,,,192.509033203125,,,,,,
2024-12-20,JPM,,,,,,,,,234.93212890625,
2024-12-20,META,,,,,,,584.2802124023438,,,
2024-12-20,MSFT,,,434.9278564453125,,,,,,,
2024-12-20,NFLX,,,,,,,,909.0499877929688,,
2024-12-20,NVDA,,,,,,134.67825317382812,,,,
2024-12-20,TSLA,,421.05999755859375,,,,,,,,
2024-12-23,AAPL,254.6557159423828,,,,,,,,,
2024-12-23,AMZN,,,,,225.05999755859375,,,,,
2024-12-23,BAC,,,,,,,,,,43.3592414855957
2024-12-23,GOOG,,,,195.53195190429688,,,,,,
2024-12-23,JPM,,,,,,,,,235.71324157714844,
2024-12-23,META,,,,,,,598.8560180664062,,,
2024-12-23,MSFT,,,433.5830383300781,,,,,,,
2024-12-23,NFLX,,,,,,,,911.4500122070312,,
2024-12-23,NVDA,,,,,,139.64744567871094,,,,
2024-12-23,TSLA,,430.6000061035156,,,,,,,,
2024-12-24,AAPL,257.57867431640625,,,,,,,,,
2024-12-24,AMZN,,,,,229.0500030517578,,,,,
2024-12-24,BAC,,,,,,,,,,43.843318939208984
2024-12-24,GOOG,,,,197.10824584960938,,,,,,
2024-12-24,JPM,,,,,,,,,239.58921813964844,
2024-12-24,META,,,,,,,606.742919921875,,,
2024-12-24,MSFT,,,437.6473693847656,,,,,,,
2024-12-24,NFLX,,,,,,,,932.1199951171875,,
2024-12-24,NVDA,,,,,,140.19737243652344,,,,
2024-12-24,TSLA,,462.2799987792969,,,,,,,,
2024-12-26,AAPL,258.39666748046875,,,,,,,,,
2024-12-26,AMZN,,,,,227.0500030517578,,,,,
2024-12-26,BAC,,,,,,,,,,44.01126480102539
2024-12-26,GOOG,,,,196.63934326171875,,,,,,
2024-12-26,JPM,,,,,,,,,240.409912109375,
2024-12-26,META,,,,,,,602.3502197265625,,,
2024-12-26,MSFT,,,436.43206787109375,,,,,,,
2024-12-26,NFLX,,,,,,,,924.1400146484375,,
2024-12-26,NVDA,,,,,,139.90740966796875,,,,
2024-12-26,TSLA,,454.1300048828125,,,,,,,,
2024-12-27,AAPL,254.9749298095703,,,,,,,,,
2024-12-27,AMZN,,,,,223.75,,,,,
2024-12-27,BAC,,,,,,,,,,43.803802490234375
2024-12-27,GOOG,,,,193.58648681640625,,,,,,
2024-12-27,JPM,,,,,,,,,238.4620361328125,
2024-12-27,META,,,,,,,598.8160400390625,,,
2024-12-27,MSFT,,,428.881103515625,,,,,,,
2024-12-27,NFLX,,,,,,,,907.5499877929688,,
2024-12-27,NVDA,,,,,,136.9878692626953,,,,
2024-12-27,TSLA,,431.6600036621094,,,,,,,,
2024-12-30,AAPL,251.59307861328125,,,,,,,,,
2024-12-30,AMZN,,,,,221.3000030517578,,,,,
2024-12-30,BAC,,,,,,,,,,43.379005432128906
2024-12-30,GOOG,,,,192.23965454101562,,,,,,
2024-12-30,JPM,,,,,,,,,236.6328125,
2024-12-30,META,,,,,,,590.26025390625,,,
2024-12-30,MSFT,,,423.2029113769531,,,,,,,
2024-12-30,NFLX,,,,,,,,900.4299926757812,,
2024-12-30,NVDA,,,,,,137.46780395507812,,,,
2024-12-30,TSLA,,417.4100036621094,,,,,,,,
2024-12-31,AAPL,249.81736755371094,,,,,,,,,
2024-12-31,AMZN,,,,,219.38999938964844,,,,,
2024-12-31,BAC,,,,,,,,,,43.41851806640625
2024-12-31,GOOG,,,,189.99490356445312,,,,,,
2024-12-31,JPM,,,,,,,,,237.0184326171875,
2024-12-31,META,,,,,,,584.539794921875,,,
2024-12-31,MSFT,,,419.88568115234375,,,,,,,
2024-12-31,NFLX,,,,,,,,891.3200073242188,,
2024-12-31,NVDA,,,,,,134.26832580566406,,,,
2024-12-31,TSLA,,403.8399963378906,,,,,,,,
2025-01-02,AAPL,243.26319885253906,,,,,,,,,
2025-01-02,AMZN,,,,,220.22000122070312,,,,,
2025-01-02,BAC,,,,,,,,,,43.75440979003906
2025-01-02,GOOG,,,,190.18446350097656,,,,,,
2025-01-02,JPM,,,,,,,,,237.30516052246094,
2025-01-02,META,,,,,,,598.2470703125,,,
